_id,OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,C_METHOD,OBJECTIVE,GIS_ACRES,COMMENTS,COMPLEX_NAME,IRWINID,FIRE_NUM,COMPLEX_ID,DECADES,Shape__Area,Shape__Length
2995,2995,2016,CA,CCO,LAC,BARNES FIRE,208738,2016/07/19 00:00:00+00,2016/07/19 00:00:00+00,3,1,1,12.63156,,,,,,2010,75950.890625,2185.10267771063
2996,2996,2016,CA,CCO,LAC,OAK FIRE,226396,2016/08/05 00:00:00+00,2016/08/05 00:00:00+00,14,1,1,8.100562,,,,,,2010,48348.55859375,1231.57110210211
2997,2997,2016,CA,CCO,LAC,SPRINGS FIRE,236285,2016/08/15 00:00:00+00,2016/08/15 00:00:00+00,14,1,1,0.1328488,,,,,,2010,797.890625,110.016999673447
2998,2998,2016,CA,CCO,LAC,GORMAN FIRE,254944,2016/09/02 00:00:00+00,2016/09/02 00:00:00+00,14,1,1,4.489233,,,,,,2010,27000.59765625,786.713144019938
2999,2999,2016,CA,CCO,LAC,CALGROVE FIRE,273740,2016/09/20 00:00:00+00,2016/09/20 00:00:00+00,14,1,1,7.824634,,,,,,2010,46573.90234375,1191.89502582574
3000,3000,2016,CA,CCO,LAC,SOLEDAD  FIRE,278851,2016/09/25 00:00:00+00,2016/09/25 00:00:00+00,14,7,1,3.725425,,,,,,2010,22215.4140625,1494.3756501264
3001,3001,2016,CA,CCO,LAC,JOHNSON FIRE,295616,2016/10/11 00:00:00+00,2016/10/11 00:00:00+00,14,7,1,101.4958,,,{F22A52EF-8704-4B95-BF86-F1B8B567EC63},,,2010,608600.41015625,5050.78409284298
3002,3002,2016,CA,CCO,LAC,SESNON FIRE,303335,2016/10/18 00:00:00+00,2016/10/19 00:00:00+00,14,7,1,28.68535,,,,,,2010,170549.94140625,2086.9600299744
3003,3003,2016,CA,CCO,LAC,KAGEL FIRE,303946,2016/10/19 00:00:00+00,2016/10/19 00:00:00+00,14,7,1,61.8065,,,,,,2010,367312.1484375,2847.43061722542
3004,3004,2016,CA,CCO,LAC,NEWELL FIRE,326026,2016/11/09 00:00:00+00,2016/11/09 00:00:00+00,3,7,1,0.5850569,LA Co. inc # 852,,,,,2010,3457.40625,557.148866367015
3005,3005,2016,CA,CCO,LAC,CROSSROADS FIRE,327021,2016/11/10 00:00:00+00,2016/11/10 00:00:00+00,2,7,1,0.9183477,,,,,,2010,5424.52734375,399.440344566748
3006,3006,2016,CA,CCO,LAC,RIDGE FIRE,336072,2016/11/19 00:00:00+00,2016/11/19 00:00:00+00,10,7,1,4.446684,,,,,,2010,26581.14453125,1093.5751724711
3007,3007,2016,CA,CCO,LAC,LIBERTY FIRE,377364,2016/12/29 00:00:00+00,2016/12/29 00:00:00+00,14,7,1,4.798984,,,,,,2010,28409.38671875,1044.93421707647
