,latitude,longitude,generationtime_ms,utc_offset_seconds,timezone,timezone_abbreviation,elevation,daily_units,daily
time,41.300526,-121.635574,4.79435920715332,0,GMT,GMT,1277.0,iso8601,"['2024-10-06', '2024-10-07', '2024-10-08', '2024-10-09', '2024-10-10', '2024-10-11', '2024-10-12', '2024-10-13', '2024-10-14']"
temperature_2m_max,41.300526,-121.635574,4.79435920715332,0,GMT,GMT,1277.0,°F,"[80.3, 80.9, 79.8, 76.6, 74.2, 71.6, 67.9, 69.2, 74.1]"
temperature_2m_min,41.300526,-121.635574,4.79435920715332,0,GMT,GMT,1277.0,°F,"[49.1, 46.6, 47.5, 47.8, 50.0, 46.0, 46.5, 38.5, 47.6]"
wind_speed_10m_max,41.300526,-121.635574,4.79435920715332,0,GMT,GMT,1277.0,mp/h,"[6.7, 6.8, 6.8, 5.3, 7.7, 8.6, 8.6, 7.1, 4.4]"
wind_gusts_10m_max,41.300526,-121.635574,4.79435920715332,0,GMT,GMT,1277.0,mp/h,"[17.2, 13.2, 17.4, 16.6, 19.5, 20.1, 21.5, 18.8, 10.5]"
