,FIRE_NAME,ALARM_DATE,CONT_DATE,CAUSE,C_METHOD,GIS_ACRES,COMPLEX_NAME,Shape__Area,Shape__Length
45,WILLIAMS,2023-10-06 00:00:00+00:00,2023/10/09 00:00:00+00,9.0,7.0,53.9,,334473.51171875,4810.72489922024
46,SKY,2023-10-06 00:00:00+00:00,2023/10/06 00:00:00+00,14.0,1.0,4.440306,,27030.42578125,1277.93106273961
47,RABBIT,2023-09-30 00:00:00+00:00,2023/10/30 00:00:00+00,14.0,2.0,2857.988,,18038140.1992188,34420.2469633329
48,CORNER,2023-09-27 00:00:00+00:00,2023/09/27 00:00:00+00,14.0,1.0,6.430629,,39461.25390625,987.043563638193
49,ROCK,2023-09-27 00:00:00+00:00,2023/09/27 00:00:00+00,14.0,1.0,13.71712,,82917.8359375,1781.1103614216
50,BLUE BARN ,2023-09-26 00:00:00+00:00,2023/09/27 00:00:00+00,14.0,1.0,7.971368,,48879.41015625,1049.61124597768
51,MEADOW,2023-09-26 00:00:00+00:00,2023/09/27 00:00:00+00,14.0,1.0,22.08992,,129652.171875,1774.83132783658
52,BEAR,2023-09-26 00:00:00+00:00,2023/09/26 00:00:00+00,4.0,1.0,0.3076231,,1873.50390625,190.523100788468
53,MAJORS,2023-09-25 00:00:00+00:00,2023/09/25 00:00:00+00,14.0,6.0,12.74907,,77988.3203125,1521.0735375008
54,POSO ,2023-09-22 00:00:00+00:00,2023/09/22 00:00:00+00,14.0,1.0,5.002238,,30675.01171875,1041.26604286787
55,TOWER ,2023-09-22 00:00:00+00:00,2023/09/22 00:00:00+00,14.0,1.0,5.175606,,31535.8984375,1666.75188837585
56,FLAT,2023-09-21 00:00:00+00:00,2023/09/21 00:00:00+00,14.0,1.0,10.37647,,63111.26171875,1553.04377703671
57,RIM,2023-09-19 00:00:00+00:00,2023/09/23 00:00:00+00,14.0,7.0,20.04021,,146670.1484375,2260.13845410547
58,CALIENTE ,2023-09-16 00:00:00+00:00,2023/09/17 00:00:00+00,14.0,1.0,55.02539,,334837.2265625,3260.97691659367
59,RANGE,2023-09-16 00:00:00+00:00,2023/09/16 00:00:00+00,5.0,1.0,16.14059,,98402.0234375,1327.04461386716
60,CANA,2023-09-16 00:00:00+00:00,2023/09/16 00:00:00+00,11.0,1.0,19.28816,,132527.5546875,1574.848975552
61,ROAD,2023-09-15 00:00:00+00:00,2023/09/15 00:00:00+00,14.0,6.0,12.56114,,76082.484375,3080.89287808271
62,RUBY,2023-09-14 00:00:00+00:00,2023/09/14 00:00:00+00,2.0,1.0,2.58,,19125.0,804.219012835874
63,WOLF CREEK,2023-09-13 00:00:00+00:00,2023/09/20 00:00:00+00,14.0,7.0,32.59397,,216134.73046875,4029.09343014341
64,MOSS,2023-09-13 00:00:00+00:00,2023/09/13 00:00:00+00,2.0,1.0,1.899265,,11630.0,545.595831444982
65,PEAK,2023-09-11 00:00:00+00:00,2023/11/16 00:00:00+00,14.0,6.0,836.8499,,5496972.05859375,16129.7951331611
66,GENESEO,2023-09-10 00:00:00+00:00,2023/09/10 00:00:00+00,14.0,1.0,1.702128,,10438.49609375,456.577777189102
67,KNOLL,2023-09-10 00:00:00+00:00,2023/09/10 00:00:00+00,14.0,4.0,34.17575,,224238.46484375,2694.35195186312
68,TOWNSITE,2023-09-10 00:00:00+00:00,2023/09/10 00:00:00+00,10.0,1.0,8.690822,,52689.99609375,985.480693147847
69,QUARRY,2023-09-09 00:00:00+00:00,2023/11/08 00:00:00+00,14.0,7.0,8645.426,,56558852.2226562,73681.7582569979
70,ROLLING,2023-09-09 00:00:00+00:00,2023/09/09 00:00:00+00,14.0,1.0,7.908133,,48110.3515625,1631.9377204392
71,TULE,2023-09-09 00:00:00+00:00,2023/09/10 00:00:00+00,14.0,1.0,7.309518,,44897.9921875,924.004655341922
72,POWER,2023-09-07 00:00:00+00:00,2023/09/07 00:00:00+00,9.0,1.0,60.4371,,377722.9765625,2728.96709125385
73,SHORES,2023-09-01 00:00:00+00:00,2023/09/01 00:00:00+00,2.0,1.0,14.83849,,91436.52734375,1464.35897895176
74,BITTER,2023-08-31 00:00:00+00:00,2023/08/31 00:00:00+00,10.0,1.0,0.7515653,,4612.0,318.676944026895
75,VEGA,2023-08-30 00:00:00+00:00,2023/08/30 00:00:00+00,7.0,7.0,1.98,,12562.90234375,905.068292808705
76,HAZEL,2023-08-29 00:00:00+00:00,2023/08/29 00:00:00+00,15.0,1.0,0.46,,3168.8984375,219.283288108808
77,CARAWAY,2023-08-28 00:00:00+00:00,2023/08/31 00:00:00+00,1.0,6.0,11.8399,,84188.1640625,1504.035864404
78,DEN,2023-08-28 00:00:00+00:00,2023/08/28 00:00:00+00,14.0,1.0,33.32077,,205300.015625,2251.13933798717
79,CREST,2023-08-27 00:00:00+00:00,2023/08/27 00:00:00+00,5.0,1.0,2.421318,,14898.50390625,648.96867144567
80,SEMI,2023-08-27 00:00:00+00:00,2023/08/27 00:00:00+00,10.0,1.0,4.015996,,24437.2109375,825.463446811665
81,CREEK,2023-08-26 00:00:00+00:00,,14.0,7.0,8.368764,,59981.734375,1227.26251548234
